Timestamp,1. სად ნახეთ ეს გამოკითხვა?,2. სქესი,3. ასაკი,4. სამუშაო გამოცდილება IT სფეროში,5. რომელ კატეგორიას მიეკუთვნებით ყველაზე მეტად?,6. რომელ პროგრამირების ენას იყენებთ ძირითადად?,7. რომელ framework-ს იყენებთ ძირითადად,8. რას იყენებთ source control-ისთვის?,9. გყავთ თუ არა ტესტერები?,10. რას იყენებთ continuous integration-ისთვის?,11. თქვენი Stackoverflow-ს რეიტინგი,12. Max რამდენი star აქვს თქვენს ყველაზე პოპულარულ პროექტს github-ზე,13. დასაქმების ტიპი,14. სამუშაოს ტიპი,15. ძირითადი დამსაქმებელი ორგანიზაცის საქმიანობის სფერო ,17. საშუალოდ რამდენ საათს მუშაობთ თვეში (და არა კვირაში!) ?,18. საშუალო თვიური შემოსავალი ხელზე ლარებში ბოლო 1 წლის მანძილზე ,"19. ღია კითხვა -  თქვენი აზრით რა უნდა გაკეთდეს იმისთვის, რომ საქართველომ მიაღწიოს  პროგრესს ინფორმაციული ტექნოლოგიების კუთხით?    ",16. ქვეყანა სადაც ფიზიკურად იმყოფებით,თქვენი GPA უნივერსიტეტში (თუ სწავლობთ ან დამთავრებული გაქვთ),ეროვნული გამოცდების ქულა უნარებში ,,GPA
5/13/2018 13:21:36,"ჯგუფ - ""Georgian Web & Mobile Development Industry"" -ში",მამრობითი,21-24,არ მაქვს,Back End Developer,C#,.Net,Git,არა,არ ვიყენებთ,0-10,0-10,არ ვარ დასაქმებული,,,0,0-300,,საქართველო,,,,
5/13/2018 13:22:20,"ჯგუფ - ""Georgian Web & Mobile Development Industry"" -ში",მამრობითი,24-27,2-4 წელი,Full Stack Developer,Javascript,.Net,Git,კი,Teamcity,700-1000,20-50,Both (Full time + Part Time),Remote and office,ფინანსები,240-300,5k-6k,ხარისხიანად უნდა ისწავლებოდეს პროგრამირება სკოლებში და ამ კუთხით უნდა მოხდეს ძალიან დიდი ინვესტიცია სახელმწიფოს მხრიდან ,საქართველო,3.9-3.99,90 - 100 %,,
5/13/2018 13:22:31,"ჯგუფ - ""Georgian Web & Mobile Development Industry"" -ში",მამრობითი,24-27,2-4 წელი,Back End Developer,Clojure(script),Re-Frame,Git,არა,Teamcity,0-10,0-10,არ ვარ დასაქმებული,,,40-100,,,საქართველო,,,,
5/13/2018 13:23:06,"ჯგუფ - ""Web Development Professionals from Georgia""-ში",მამრობითი,24-27,4-6 წელი,Full Stack Developer,Javascript,Angular,Git,არა,Jenkins,,,Both (Full time + Part Time),Remote and office,ინფორმაციული ტექნოლოგიები,160-200,3k-4k,ბიზნესის კეთება იყოს მარტივი. და არ იყოს ზედმეტად რეგულირებული,საქართველო,,,,
5/13/2018 13:24:39,"ჯგუფ - ""Georgian Web & Mobile Development Industry"" -ში",მამრობითი,21-24,2-4 წელი,Front End Developer,Javascript,Vue,Git,არა,არ ვიყენებთ,1000-2000,0-10,Full Time,Office,ინფორმაციული ტექნოლოგიები,100-160,1500-2000,,საქართველო,,,,
5/13/2018 13:25:03,"ჯგუფ - ""Remote Work - Georgian Community"" -ში",მამრობითი,24-27,2-4 წელი,Back End Developer,SQL,.Net,არ ვიყენებთ,კი,არ ვიყენებთ,0-10,0-10,Full Time,Office,გემბლინგი,160-200,2k-3k,Who knows...,საქართველო,,,,
5/13/2018 13:27:00,"ჯგუფ - ""Georgian Web & Mobile Development Industry"" -ში",მამრობითი,21-24,4-6 წელი,Full Stack Developer,Php,,Git,კი,Jenkins,0-10,0-10,Full Time,Remote and office,გემბლინგი,40-100,4k-5k,"მეტი იკითხონ, მეტი იფიქრონ და ნაკლები ""საკუთარი ძრავები"", რა თქმა უნდა, ეს უკანასკნელი იგულისხმება პროდაქშენში #სახლშირაცუნდათისაკეთონკაცო",საქართველო,,,,
5/13/2018 13:31:11,"ჯგუფ - ""Georgian Web & Mobile Development Industry"" -ში",მამრობითი,27-30,9-12 წელი,Full Stack Developer,Javascript,Angular,Git,კი,Jenkins,1000-2000,0-10,Full Time,Remote,ინფორმაციული ტექნოლოგიები,240-300,10k-15k,meetup-ები დამწყებებისთვის და სკოლის მოსწავლეებისთვის,საქართველო,,,,
5/13/2018 13:33:59,"ჯგუფ - ""Remote Work - Georgian Community"" -ში",მამრობითი,27-30,4-6 წელი,Full Stack Developer,C#,.Net,Git,არა,Teamcity,0-10,0-10,Both (Full time + Part Time),Remote,სადაზღვევო სფერო,40-100,6k-7k,,საქართველო,,,,
5/13/2018 13:41:21,"ჯგუფ - ""Georgian Web & Mobile Development Industry"" -ში",მამრობითი,21-24,2-4 წელი,Back End Developer,Ruby,Rails,Git,კი,არ ვიყენებთ,,1000-3000,Full Time,Office,სამედიცინო სფერო,40-100,1500-2000,"განვითაროთ ძლიერი ლოკალური community, მოვაწყოთ კონფერენციები და ვისაუბროთ იმ პრობლემებზე რასაც ყოველი დღე გვაწუხებს",საქართველო,,,,
5/13/2018 13:42:09,"ჯგუფ - ""Remote Work - Georgian Community"" -ში",მამრობითი,24-27,6-9 წელი,Full Stack Developer,C#,.Net Core,Git,კი,Jenkins,400-700,0-10,Full Time,Remote,ინფორმაციული ტექნოლოგიები,160-240,,მეტი ყურადღება უნდა დაეთმოს სიახლეების ათვისებას და განვითარებას,საქართველო,,,,
5/13/2018 13:45:21,"ჯგუფ - ""Georgian Web & Mobile Development Industry"" -ში",მამრობითი,21-24,2-4 წელი,Full Stack Developer,Javascript,Laravel,Git,არა,Travis,100-200,20-50,Full Time,Office,ინფორმაციული ტექნოლოგიები,100-160,1500-2000,"სასწავლებლებში, სადაც პროგრამირებას ასწავლიან, ხელთავიდან უნდა დაიწეროს მთლიანი სილაბუსი, უკვე ყველგან მოძველებული სილაბუსით ასწავლიან",საქართველო,,,,
5/13/2018 13:46:31,"ჯგუფ - ""Georgian Web & Mobile Development Industry"" -ში",მამრობითი,21-24,1-2 წელი,Back End Developer,Ruby,Rails,Git,კი,არ ვიყენებთ,0-10,0-10,Full Time,Office,ინფორმაციული ტექნოლოგიები,160-240,1000-1500,გაიზარდოს სტაჟირებებისა და დამწყები პროგრამისტების ვაკანსიების რაოდენობა.,საქართველო,,,,
5/13/2018 13:53:00,"ჯგუფ - ""Web Development Professionals from Georgia""-ში",მამრობითი,21-24,არ მაქვს,Front End Developer,C#,.Net Core,Git,არა,არ ვიყენებთ,10-100,0-10,არ ვარ დასაქმებული,Office,ინფორმაციული ტექნოლოგიები,40-100,0-300,"ვფიქრობ სკოლიდანვე უნდა დაიწყოს ინფორმაციული ტექნოლოგიების მინიმუმ საფუძვლების შესაწავლა. კარგი იქნებოდა  რომ გვქონდეს ყოველწლიური ""ტექ"" კოფერენცია.",საქართველო,,,,
5/13/2018 13:55:45,"ჯგუფ - ""Georgian Web & Mobile Development Industry"" -ში",მამრობითი,18-21,0-1 წელი,Front End Developer,Php,,Git,არა,არ ვიყენებთ,0-10,0-10,არ ვარ დასაქმებული,Office,ინფორმაციული ტექნოლოგიები,0,0-300,,საქართველო,,,,
5/13/2018 13:56:12,"ჯგუფ - ""Georgian Web & Mobile Development Industry"" -ში",მამრობითი,27-30,6-9 წელი,Full Stack Developer,C#,.Net,SVN,კი,არ ვიყენებთ,0-10,0-10,Full Time,Office,ინფორმაციული ტექნოლოგიები,40-100,2k-3k,,საქართველო,,,,
5/13/2018 14:01:23,"ჯგუფ - ""Georgian Web & Mobile Development Industry"" -ში",მდედრობითი,21-24,0-1 წელი,Front End Developer,Javascript,React,Git,კი,არ ვიყენებთ,700-1000,20-50,Full Time,Remote and office,გემბლინგი,160-240,500-1000,,საქართველო,,,,
5/13/2018 14:03:56,"ჯგუფ - ""Georgian Web & Mobile Development Industry"" -ში",მამრობითი,21-24,0-1 წელი,Back End Developer,C#,.Net,Git,არა,არ ვიყენებთ,,,არ ვარ დასაქმებული,,,,,,საქართველო,,,,
5/13/2018 14:08:46,"ჯგუფ - ""Georgian Web & Mobile Development Industry"" -ში",მამრობითი,24-27,4-6 წელი,Full Stack Developer,Python,flask,არ ვიყენებთ,არა,არ ვიყენებთ,0-10,0-10,Full Time,Office,ინფორმაციული ტექნოლოგიები,40-100,1000-1500,"მეტი შეხვედრები, ტექნოლოგიების გარჩევა,მეტი ტრეინიგები(უფასო უკეთესი იქნება), მეტი ""სფიჩები"" და გამოცდილების გაზიარება.
",საქართველო,,,,
5/13/2018 14:11:53,"ჯგუფ - ""Georgian Web & Mobile Development Industry"" -ში",მამრობითი,27-30,6-9 წელი,devops,Python,,Git,კი,Jenkins,0-10,0-10,Full Time,Office,ფინანსები,0-40,4k-5k,ჯერ ბანანის რესპუბლიკა არ უნდა ვიყოთ. მერე ვნახოთ.,საქართველო,,,,
5/13/2018 14:39:42,"ჯგუფ - ""Georgian Web & Mobile Development Industry"" -ში",მამრობითი,24-27,6-9 წელი,Full Stack Developer,Javascript,Angular,Git,კი,არ ვიყენებთ,0-10,0-10,Both (Full time + Part Time),Remote and office,ფინანსები,160-240,10k-15k,,საქართველო,,,,
