index,Timestamp,1. სად ნახეთ ეს გამოკითხვა?,2. სქესი,3. ასაკი,4. სამუშაო გამოცდილება IT სფეროში,5. რომელ კატეგორიას მიეკუთვნებით ყველაზე მეტად?,იყენებთ თუ არა cloud-ს და რომელს?,6. რომელ პროგრამირების ენას იყენებთ ძირითადად?,7. რომელ framework-ს იყენებთ ძირითადად?,8. რას იყენებთ source control-ისთვის?,9. გყავთ თუ არა ტესტერები?,10. რას იყენებთ continuous integration-ისთვის?,11. თქვენი Stackoverflow-ს რეიტინგი,12. Max რამდენი star აქვს თქვენს ყველაზე პოპულარულ პროექტს github-ზე,13. დასაქმების ტიპი,14. სამუშაოს ტიპი,სამუშაო ენა,15. ძირითადი დამსაქმებელი ორგანიზაცის საქმიანობის სფერო ,16. ქვეყანა სადაც ფიზიკურად იმყოფებით,"ქვეყანა, საიდანაც ყველაზე მეტი შემოსავალი გაქვთ მიღებული  ბოლო ერთი წლის მანძილზე",კმაყოფილი ხართ ახლანდელი სამუშაო ადგილით?,17. საშუალოდ რამდენ საათს მუშაობთ თვეში (და არა კვირაში!) ?,"თქვენი აზრით ხელფასის რა რაოდენობა შეეფერება თქვენს ამჟამინდელ ცოდნას და გამოცდილებას (ლარებში, თვიურად)",იმოქმედა თუ არა Covid-19 პანდემიამ თქვენს შემოსავალზე?,ეროვნული გამოცდების ქულა უნარებში ,თქვენი GPA უნივერსიტეტში (თუ სწავლობთ ან დამთავრებული გაქვთ),განათლების დონე,რომელზე მუშაობთ ძირითადად?,"ვინმეს რომ ეკითხა რა კომპიუტერზე მუშაობთო, რას უპასუხებდით?",ლეპტოპის მოდელი,რამდენი აქვს ოპერატიული მეხსიერება? (RAM),რომელი მეხსიერების ტიპი აქვს კომპიუტერს?,რამდენი აქვს მეხსიერება? ,"19. ღია კითხვა -  თქვენი აზრით რა უნდა გაკეთდეს იმისთვის, რომ საქართველომ მიაღწიოს  პროგრესს ინფორმაციული ტექნოლოგიების კუთხით?    ",20. ღია კითხვა - როგორ უნდა დავაინტერესოთ მომავალი თაობა ინფორმაციული ტექნოლოგიებით,18. საშუალო თვიური შემოსავალი ხელზე ლარებში ბოლო 1 წლის მანძილზე
1,10/7/2020 21:27:14,"ჯგუფ - ""Remote Work - Georgian Community"" -ში",მამრობითი,21-23,2-4 წელი,Mobile Apps Developer,არ ვიყენებ,Swift,არც ერთს,Git,კი,Jenkins,არ მაქვს account,არ მაქვს account,Full Time,Office - Local Projects,ქართული,ფინანსები,საქართველო,საქართველო,კი,160-200,4k-5k,არ უმოქმედია,80-90 %,3-3.5,დავამთავრე -  bachelor,ლეპტოპი,Macbook Pro,Macbook,16 gb,SSD  (სწრაფი),256 gb,,,არ უპასუხია
2,10/7/2020 21:30:18,"ჯგუფ - ""Georgian Web & Mobile Development Industry"" -ში",მამრობითი,21-23,2-4 წელი,Business Analyst,AWS,Python,არც ერთს,Git,არა,არ ვიყენებთ,არ მაქვს account,0-10,Full Time,Office - Local Projects,ქართული,ფინანსები,საქართველო,საქართველო,კი,100-160,4k-5k,არ უმოქმედია,90 - 100 %,2-2.5,ვსწავლობ -  bachelor,ლეპტოპი,HP Pavilion,HP,16 gb,SSD  (სწრაფი),256 gb,,,არ უპასუხია
3,10/7/2020 21:31:36,"ჯგუფ - ""Remote Work - Georgian Community"" -ში",მამრობითი,27-29,2-4 წელი,Full Stack Developer,Digital Ocean,PHP,Laravel,Git,არა,Circle CI,10-100,0-10,Full Time,Office - Local Projects,ქართული,სამთავრობო ორგანიზაცია,საქართველო,საქართველო,არა,40-100,2k-3k,არ უმოქმედია,60-70 %,3.7-3.8,დავამთავრე - master,ლეპტოპი,Macbook Pro,Macbook,8 gb,SSD  (სწრაფი),128 gb,ანარქო კომუნიზმი დამყარდეს,სკოლის ასაკიდან უნდა დავიწყოთ პროგრამირების სწავლა,არ უპასუხია
4,10/7/2020 21:31:43,"ჯგუფ - ""Remote Work - Georgian Community"" -ში",მამრობითი,18-20,4-6 წელი,Back End Developer,AWS,TypeScript,NestJS,Git,არა,Github Actions,არ მაქვს account,0-10,Both (Full time + Part Time),Remote  - International Projects,ინგლისური,მარკეტინგი,საქართველო,გერმანია,კი,100-160,7k-10k,არ უმოქმედია,60-70 %,0.5-1,ვსწავლობ -  bachelor,ლეპტოპი,Dell Latitude,Dell,16 gb,SSD  (სწრაფი),256 gb,-,-,არ უპასუხია
5,10/7/2020 21:32:52,"ჯგუფ - ""Remote Work - Georgian Community"" -ში",მამრობითი,27-29,6-9 წელი,Mobile Apps Developer,Digital Ocean,Kotlin,არც ერთს,Git,კი,Jenkins,100-200,20-50,Full Time,Office - Local Projects,ქართული,ფინანსები,საქართველო,საქართველო,კი,160-200,7k-10k,არ უმოქმედია,70-80 %,2-2.5,დავამთავრე - master,ლეპტოპი,Macbook Pro,Macbook,16 gb,SSD  (სწრაფი),512 gb,,,არ უპასუხია
6,10/7/2020 21:33:09,"ჯგუფ - ""Remote Work - Georgian Community"" -ში",მამრობითი,24-26,2-4 წელი,Full Stack Developer,AWS,TypeScript,React,Git,არა,არ ვიყენებთ,0-10,0-10,Both (Full time + Part Time),არ უპასუხია,არ უპასუხია,ინფორმაციული ტექნოლოგიები,საქართველო,კანადა,კი,160-240,30k-50k,"კი, გაიზარდა",90 - 100 %,0-0.5,მხოლოდ სკოლა,ლეპტოპი,Macbook Pro,Macbook,16 gb,SSD  (სწრაფი),256 gb,სკოლაში უნდა ისწავლებოდეს პროგრამირება.,სკოლაში უნდა ისწავლებოდეს პროგრამირება.,არ უპასუხია
7,10/7/2020 21:33:32,"ჯგუფ - ""Remote Work - Georgian Community"" -ში",მამრობითი,24-26,4-6 წელი,Full Stack Developer,AWS,Javascript,Vue,Git,კი,Azure Devops,2000-5000,0-10,Both (Full time + Part Time),Remote  - International Projects,ქართული,ინფორმაციული ტექნოლოგიები,საქართველო,ამერიკის შეერთებული შტატები,კი,160-200,30k-50k,არ უმოქმედია,90 - 100 %,2.5-3,დავამთავრე -  bachelor,ლეპტოპი,არ უპასუხია,არ უპასუხია,16 gb,SSD  (სწრაფი),256 gb,,,არ უპასუხია
8,10/7/2020 21:33:36,"ჯგუფ - ""Remote Work - Georgian Community"" -ში",მამრობითი,24-26,4-6 წელი,Full Stack Developer,არ ვიყენებ,C#,.NET Core,Git,კი,Jenkins,0-10,0-10,Full Time,Office - Local Projects,ქართული,გემბლინგი,საქართველო,საქართველო,კი,160-200,7k-10k,არ უმოქმედია,80-90 %,1-1.5,ვსწავლობ -  bachelor,Desktop კომპიუტერი,არ უპასუხია,არ უპასუხია,16 gb,SSD  (სწრაფი),1 tb,,,არ უპასუხია
9,10/7/2020 21:33:43,"ჯგუფ - ""Remote Work - Georgian Community"" -ში",მამრობითი,21-23,არ მაქვს,Back End Developer,არ ვიყენებ,C/C++,React,Git,არა,არ ვიყენებთ,არ მაქვს account,0-10,არ ვარ დასაქმებული,არ უპასუხია,არ უპასუხია,არ უპასუხია,არ უპასუხია,გერმანია,არ უპასუხია,არ უპასუხია,500-1000,"კი, შემცირდა",80-90 %,3-3.5,დავამთავრე -  bachelor,ლეპტოპი,Macbook Pro,Macbook,4 gb,HDD (ნელი),512 gb,"კომპანიებმა უნდა ეცადონ რაც შეიძლება მეტი ინვესტიცია ჩადონ დამწყებ პროგრამისტებში, ვინაიდან სამომავლოდ შევიქნათ მყარი საფუძველი სხვა გამოსავალს, რომ ვაკვირდები ვერ ვეხვდები რაშეიძლება გაკეთდეს, ვინაიდან 6 თვეა სტჟირებას ვეძებ და ვერ ვიშოვე, ჩემი საფუძვლებიდან გამომდინარე კი საკმაოდ ბევრი მიმართულებით შემოძლო დასაქმება, ამ 6 თვეში კი ნებისმიერი კომპანიისათვის შევძლებდი პროდუქტიულობის მოტანას და შემდეგ რათქმაუნდა მეტად განვითარდებოდი, ჩემითაც ვაკეთებ ამ ყველაფერს მაგრამ ოფიციალურად რახან არ ვარ დასაქმებული სხვა ვალდებულებები დროს მართმევენ და ისე ვეღარ ვყალიბდები, როგორც საჭიროა.","სკოლებში რაღაც საწყისები, მაინც უნდა გახდეს სავალდებულო საგანი",არ უპასუხია
10,10/7/2020 21:35:18,"ჯგუფ - ""Remote Work - Georgian Community"" -ში",მამრობითი,18-20,0-1 წელი,Back End Developer,არ ვიყენებ,C#,.NET Core,Git,კი,არ უპასუხია,0-10,0-10,Full Time,Office - Local Projects,ქართული,ფინანსები,საქართველო,საქართველო,კი,100-160,1000-1500,არ უმოქმედია,არ უპასუხია,არ უპასუხია,ვსწავლობ -  bachelor,ლეპტოპი,HP Probook,HP,16 gb,SSD  (სწრაფი),256 gb,,,არ უპასუხია
