Timestamp,Sex,Age,Experience,FromLeargningToJobTime,Category,CloudUsage,FirstLanguage,CurrentLanguage,MainFramework,SourceControl,HasTesters,CI,StackoverflowPoints,GithubStars,WorkType,JobType,WorkingLanguage,MainEmployerCategory,PhysicalLocation,AverageMonthlyRevenueInGel,CountryWithMostRevenue,CurrentJobSatisfaction,AverageMonthlyWorkHours,DeservedSalaryOpinion,CovidSalaryInfluence,NationalSkillExamPoints,GPA,EducationLevel,LaptopDesktop,OperatingSystem,ComputerModel,RAM,Memory,InformationTechProgressActions,GainNewGenerationInterest
11/15/2021 21:18:09,მამრობითი,30-34,12-15 წელი,0-1 წელი,Full Stack Developer,Digital Ocean,PHP,Javascript,React,Git,არა,Jenkins,0-10,0-10,Full Time,Remote  - International Projects,ქართული,ინფორმაციული ტექნოლოგიები,საქართველო,7k-10k,საქართველო,კი,100-160,7k-10k,"კი, გაიზარდა",80-90 %,არ უპასუხია,მხოლოდ სკოლა,Desktop კომპიუტერი,Macos,MacBook Pro,16 gb,512 gb,დაიბეგროს საერთაშორისო კომპანიები მეტად,ხელფასების ჩარტები ვაჩვენოთ :)
11/15/2021 21:18:48,მამრობითი,24-26,2-4 წელი,2-4 წელი,Back End Developer,AWS,C++,PHP,Laravel,Git,კი,არ უპასუხია,0-10,0-10,Full Time,Office -  International Projects,ქართული,ინფორმაციული ტექნოლოგიები,საქართველო,3k-4k,საქართველო,კი,160-200,6k-7k,"კი, გაიზარდა",70-80 %,3.7-3.8,ვსწავლობ - master,ლეპტოპი,Windows,არ უპასუხია,20 gb,512 gb,,
11/15/2021 21:20:01,მამრობითი,24-26,2-4 წელი,2-4 წელი,DevOps Engineer,AWS,C++,Python,არც ერთს,Git,კი,Gitlab CI,10-100,0-10,Both (Full time + Part Time),Remote  - International Projects,ინგლისური,ფინანსები,საქართველო,10k-15k,საქართველო,კი,160-240,10k-15k,"კი, გაიზარდა",70-80 %,1-1.5,ვსწავლობ - master,ლეპტოპი,Macos,MacBook,32 gb,512 gb,,
11/15/2021 21:20:04,მამრობითი,24-26,4-6 წელი,0-1 წელი,Full Stack Developer,Digital Ocean,C++,TypeScript,React,Git,კი,არ ვიყენებთ,არ მაქვს account,0-10,Both (Full time + Part Time),Office -  International Projects,ინგლისური,ინფორმაციული ტექნოლოგიები,ა.შ.შ,15k-20k,ამერიკის შეერთებული შტატები,კი,160-200,15k-20k,არ უმოქმედია,90 - 100 %,3-3.5,დავამთავრე -  bachelor,ლეპტოპი,Macos,არ უპასუხია,32 gb,1 tb,,
11/15/2021 21:20:06,მამრობითი,27-29,9-12 წელი,0-1 წელი,Full Stack Developer,AWS,C++,TypeScript,არ უპასუხია,Git,კი,Jenkins,700-1000,20-50,Both (Full time + Part Time),Office -  International Projects,ინგლისური,ინფორმაციული ტექნოლოგიები,საქართველო,15k-20k,გერმანია,კი,40-100,20k-30k,"კი, გაიზარდა",90 - 100 %,არ უპასუხია,მხოლოდ სკოლა,ლეპტოპი,Macos,MacBook Pro,16 gb,256 gb,,ვლოგები და ბლოგები ქართულად
11/15/2021 21:20:08,მამრობითი,24-26,2-4 წელი,18 თვე - 2 წელი,Back End Developer,Digital Ocean,C++,PHP,Laravel,Git,კი,Jenkins,არ მაქვს account,0-10,Both (Full time + Part Time),Remote  - International Projects,ინგლისური,სამედიცინო სფერო,საქართველო,10k-15k,უკრაინა,კი,240-300,15k-20k,"კი, გაიზარდა",70-80 %,0-0.5,ვსწავლობ -  bachelor,ლეპტოპი,Macos,MacBook Pro,16 gb,512 gb,,
11/15/2021 21:21:35,მამრობითი,21-23,2-4 წელი,0-1 წელი,Mobile Apps Developer,GCP,C++,Dart,Flutter,Git,კი,Codemagic,400-700,100-500,Full Time,Office - Local Projects,ქართული,ინფორმაციული ტექნოლოგიები,საქართველო,6k-7k,საქართველო,არა,160-200,20k-30k,არ უმოქმედია,70-80 %,2-2.5,დავამთავრე -  bachelor,ლეპტოპი,Macos,MacBook Pro,16 gb,256 gb,სორად მივაწოდოთ ინფორმაცია,"მითაფები, დევ ფესტები, მეტი ინფო გავაზიაროთ"
11/15/2021 21:21:48,მამრობითი,30-34,9-12 წელი,0-1 წელი,Full Stack Developer,Digital Ocean,C++,PHP,Laravel,Git,კი,Jenkins,არ მაქვს account,0-10,Both (Full time + Part Time),Office -  International Projects,ქართული,ინფორმაციული ტექნოლოგიები,საქართველო,10k-15k,საქართველო,კი,არ უპასუხია,20k-30k,"კი, გაიზარდა",90 - 100 %,არ უპასუხია,არ უპასუხია,ლეპტოპი,Windows,არ უპასუხია,16 gb,512 gb,,
11/15/2021 21:22:06,მამრობითი,21-23,4-6 წელი,0-1 წელი,ML Engineer,AWS,C,Python,PyTorch,Git,კი,Jenkins,100-200,10-20,Both (Full time + Part Time),Remote  - International Projects,ინგლისური,ინფორმაციული ტექნოლოგიები,საქართველო,30k-50k,ამერიკის შეერთებული შტატები,კი,160-200,50k-70k,"კი, გაიზარდა",90 - 100 %,2.5-3,მხოლოდ სკოლა,ლეპტოპი,Macos,MacBook Pro,16 gb,512 gb,კომპანიები უნდა გახდნენ უფრო კრიტიკული & თანასწორები (ექვალიბრიუმში) რომ ინჟინრების ხარისხი გავზარდოთ.,ვაჩვენოთ თუ რა მაგარი რაღაცეების გაკეთება შეიძლება ტექნოლოგიებით
11/15/2021 21:22:28,მამრობითი,27-29,6-9 წელი,1 წელი - 18 თვე,Front End Developer,AWS,C,Javascript,Angular,Git,კი,Jenkins,10-100,0-10,Full Time,Office -  International Projects,ინგლისური,სამედიცინო სფერო,საქართველო,10k-15k,საქართველო,კი,100-160,15k-20k,"კი, გაიზარდა",80-90 %,2-2.5,დავამთავრე -  bachelor,Desktop კომპიუტერი,Linux,არ უპასუხია,32 gb,512 gb,,
