Timestamp,Sex,Age,Experience,FromLeargningToJobTime,Category,CloudUsage,FirstLanguage,CurrentLanguage,MainFramework,SourceControl,HasTesters,CI,StackoverflowPoints,GithubStars,WorkType,JobType,WorkingLanguage,MainEmployerCategory,PhysicalLocation,AverageMonthlyRevenueInGel,CountryWithMostRevenue,CurrentJobSatisfaction,AverageMonthlyWorkHours,DeservedSalaryOpinion,GPA,EducationLevel,LaptopDesktop,OperatingSystem,RAM,Memory,InformationTechProgressActions,GainNewGenerationInterest,NextSurveyQuestion
12/7/2022 23:40:42,მამრობითი,21-23,0-1 წელი,4 წელი,Back End Developer,არ ვიყენებ,Java,Java,არც ერთს,Git,კი,Jenkins,არ მაქვს account,0-10,Full Time,Office -  International Projects,ინგლისური,ინფორმაციული ტექნოლოგიები,საქართველო,1500-1999,საქართველო,კი,240-300,2k-3k,2.5-3,დავამთავრე -  bachelor,ლეპტოპი,Linux,8 gb,512 gb,,,
12/8/2022 12:56:07,მამრობითი,24-26,4-6 წელი,1.5 წელი - 2 წელი,Front End Developer,AWS,PHP,Javascript,React,Git,კი,Jenkins,10-100,0-10,Full Time,Remote  - International Projects,ინგლისური,ინფორმაციული ტექნოლოგიები,საქართველო,10k-15k,ამერიკის შეერთებული შტატები,კი,160-200,30k-50k,2-2.5,დავამთავრე -  bachelor,ლეპტოპი,Macos,16 gb,512 gb,,,
12/8/2022 21:40:30,მამრობითი,24-26,6-9 წელი,6 თვე - 1 წელი,Full Stack Developer,AWS,PHP,TypeScript,Vue,Git,არა,Jenkins,200-400,10-20,Full Time,არ უპასუხია,ინგლისური,ფინანსები,საქართველო,20k-30k,ამერიკის შეერთებული შტატები,კი,100-160,არ უპასუხია,1-1.5,ვსწავლობ/dropout -  bachelor,ლეპტოპი,Macos,32 gb,512 gb,,,
12/8/2022 21:56:20,მდედრობითი,27-29,2-4 წელი,არ უპასუხია,Data Scientist,არ უპასუხია,C++,Python,არ უპასუხია,Git,არ უპასუხია,Jenkins,არ უპასუხია,არ უპასუხია,Full Time,Office - Local Projects,ქართული,არ უპასუხია,საქართველო,3k-4k,არ უპასუხია,კი,არ უპასუხია,5k-6k,არ უპასუხია,დავამთავრე - master,არ უპასუხია,არ უპასუხია,არ უპასუხია,არ უპასუხია,,,
12/8/2022 21:56:24,მამრობითი,21-23,0-1 წელი,6 თვე - 1 წელი,Full Stack Developer,AWS,C++,TypeScript,Angular,Git,კი,არ ვიყენებთ,10-100,0-10,Full Time,Remote  - International Projects,ქართული,სამედიცინო სფერო,საქართველო,50k+,საქართველო,კი,არ უპასუხია,4k-5k,3.8-3.9,დავამთავრე -  bachelor,ლეპტოპი,Linux,16 gb,256 gb,უნდა მოხდეს უნივერსიტეტების სრული განახლება და დაინიშნონ ახალგაზრდა კომპეტენტური ლექტორები,უნდა ეწყობოდეს ხშირი დევ ფესტივალები რეგიონებში,
12/8/2022 21:59:43,მამრობითი,30-34,6-9 წელი,1 წელი - 18 თვე,Back End Developer,AWS,PHP,Ruby,Rails,Git,კი,Gitlab,10-100,0-10,Full Time,Remote  - International Projects,ინგლისური,ფინანსები,საქართველო,10k-15k,ესტონეთი,კი,160-200,10k-15k,2-2.5,დავამთავრე -  bachelor,ლეპტოპი,Linux,16 gb,512 gb,"მეტი ქართული IT კომპანია უნდა გაეხსნას, რომ განავითაროთ ჩვენი IT სექტორი და შევქმნათ ისეთი პროდუქტი, რომელიც მერე მსოფლიოში გავითანთ.",,
12/8/2022 22:58:11,მდედრობითი,35-39,15-20 წელი,6 თვე - 1 წელი,Business Analyst,არ ვიყენებ,Pascal,არ უპასუხია,არც ერთს,არ ვიყენებთ,კი,არ ვიყენებთ,არ მაქვს account,არ მაქვს account,Full Time,Office - Local Projects,ქართული,ტელეკომი,საქართველო,7k-10k,საქართველო,არა,160-200,15k-20k,არ უპასუხია,ვსწავლობ/dropout - PHD,ორივე,Windows,8 gb,256 gb,კლიენტის მოთხოვნის ხარისხმა აიწიოს,ისედაც აინტერესებთ,
12/8/2022 22:59:13,მამრობითი,21-23,2-4 წელი,6 თვე - 1 წელი,Back End Developer,არ ვიყენებ,C++,C#,.NET Core,Git,კი,Travis,0-10,0-10,არ ვარ დასაქმებული,Remote  - Local Projects,ქართული,ინფორმაციული ტექნოლოგიები,საქართველო,4k-5k,საქართველო,კი,100-160,7k-10k,1.5-2,დავამთავრე -  bachelor,ლეპტოპი,Windows,16 gb,256 gb,,,
12/8/2022 22:59:18,მამრობითი,27-29,6-9 წელი,0 - 0.5 წელი,Mobile Apps Developer,AWS,Pascal,Kotlin,Android,Git,კი,Bitrise,100-200,10-20,Full Time,Office -  International Projects,ინგლისური,Food,გერმანია,15k-20k,გერმანია,კი,160-200,20k-30k,2.5-3,ვსწავლობ/dropout - PHD,ლეპტოპი,Macos,32 gb,512 gb,,,
12/8/2022 23:01:45,მამრობითი,21-23,1-2 წელი,1 წელი - 18 თვე,DevOps Engineer,AWS,Python,არც ერთს,არც ერთს,Git,კი,არ უპასუხია,არ მაქვს account,არ მაქვს account,Full Time,Remote  - International Projects,ქართული,ინფორმაციული ტექნოლოგიები,საქართველო,2k-3k,საქართველო,კი,100-160,2k-3k,არ უპასუხია,ვსწავლობ/dropout -  bachelor,ლეპტოპი,Linux,16 gb,256 gb,,,
